timestamp,svid,constellation,cn0_dbhz,elevation_deg,azimuth_deg,used_in_fix,carrier_freq_hz,agc_db,baseband_cn0_dbhz
2026-02-23T16:32:13.438887,1,GPS,30.0,,,True,,,
2026-02-23T16:32:13.438887,2,GPS,32.7,,,True,,,
2026-02-23T16:32:13.438887,3,GPS,35.3,,,True,,,
2026-02-23T16:32:13.438887,4,GPS,38.0,,,True,,,
2026-02-23T16:32:13.438887,5,GLONASS,30.0,,,True,,,
2026-02-23T16:32:13.438887,6,GLONASS,34.0,,,True,,,
2026-02-23T16:32:13.438887,7,GLONASS,38.0,,,True,,,
2026-02-23T16:32:13.438887,8,GALILEO,30.0,,,True,,,
2026-02-23T16:32:13.438887,9,GALILEO,34.0,,,True,,,
2026-02-23T16:32:13.438887,10,GALILEO,38.0,,,True,,,
2026-02-23T16:32:14.690120,1,GPS,30.0,,,True,,,
2026-02-23T16:32:14.690120,2,GPS,32.7,,,True,,,
2026-02-23T16:32:14.690120,3,GPS,35.3,,,True,,,
2026-02-23T16:32:14.690120,4,GPS,38.0,,,True,,,
2026-02-23T16:32:14.690120,5,GLONASS,30.0,,,True,,,
2026-02-23T16:32:14.690120,6,GLONASS,34.0,,,True,,,
2026-02-23T16:32:14.690120,7,GLONASS,38.0,,,True,,,
2026-02-23T16:32:14.690120,8,GALILEO,30.0,,,True,,,
2026-02-23T16:32:14.690120,9,GALILEO,34.0,,,True,,,
2026-02-23T16:32:14.690120,10,GALILEO,38.0,,,True,,,
2026-02-23T16:32:15.946609,1,GPS,30.0,,,True,,,
2026-02-23T16:32:15.946609,2,GPS,32.7,,,True,,,
2026-02-23T16:32:15.946609,3,GPS,35.3,,,True,,,
2026-02-23T16:32:15.946609,4,GPS,38.0,,,True,,,
2026-02-23T16:32:15.946609,5,GLONASS,30.0,,,True,,,
2026-02-23T16:32:15.946609,6,GLONASS,34.0,,,True,,,
2026-02-23T16:32:15.946609,7,GLONASS,38.0,,,True,,,
2026-02-23T16:32:15.946609,8,GALILEO,30.0,,,True,,,
2026-02-23T16:32:15.946609,9,GALILEO,34.0,,,True,,,
2026-02-23T16:32:15.946609,10,GALILEO,38.0,,,True,,,
2026-02-23T16:32:17.188202,1,GPS,30.0,,,True,,,
2026-02-23T16:32:17.188202,2,GPS,32.7,,,True,,,
2026-02-23T16:32:17.188202,3,GPS,35.3,,,True,,,
2026-02-23T16:32:17.188202,4,GPS,38.0,,,True,,,
2026-02-23T16:32:17.188202,5,GLONASS,30.0,,,True,,,
2026-02-23T16:32:17.188202,6,GLONASS,34.0,,,True,,,
2026-02-23T16:32:17.188202,7,GLONASS,38.0,,,True,,,
2026-02-23T16:32:17.188202,8,GALILEO,30.0,,,True,,,
2026-02-23T16:32:17.188202,9,GALILEO,34.0,,,True,,,
2026-02-23T16:32:17.188202,10,GALILEO,38.0,,,True,,,
2026-02-23T16:32:18.461712,1,GPS,30.0,,,True,,,
2026-02-23T16:32:18.461712,2,GPS,32.7,,,True,,,
2026-02-23T16:32:18.461712,3,GPS,35.3,,,True,,,
2026-02-23T16:32:18.461712,4,GPS,38.0,,,True,,,
2026-02-23T16:32:18.461712,5,GLONASS,30.0,,,True,,,
2026-02-23T16:32:18.461712,6,GLONASS,34.0,,,True,,,
2026-02-23T16:32:18.461712,7,GLONASS,38.0,,,True,,,
2026-02-23T16:32:18.461712,8,GALILEO,30.0,,,True,,,
2026-02-23T16:32:18.461712,9,GALILEO,34.0,,,True,,,
2026-02-23T16:32:18.461712,10,GALILEO,38.0,,,True,,,
2026-02-23T16:32:19.717139,1,GPS,30.0,,,True,,,
2026-02-23T16:32:19.717139,2,GPS,32.7,,,True,,,
