timestamp,satellites,max_cn0,mean_cn0,latitude,longitude,altitude,accuracy,constellations_used,l5_available,top4_avg_cn0_mean,top4_avg_cn0_std
2026-02-23T16:27:37.927417,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:38.801794,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:39.794965,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:40.789431,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:41.790100,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:42.786545,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:43.809619,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:44.795733,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:45.801575,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:46.789562,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:47.795976,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:48.789351,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:49.793157,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:50.804938,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:51.798551,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:52.793624,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:53.854025,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:54.797678,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:55.790829,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:56.790398,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:57.802853,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:58.797298,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:27:59.804797,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:28:00.797176,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:28:01.802523,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:28:02.845782,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:28:03.809151,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:28:04.791371,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:28:05.830627,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:28:06.831007,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:28:07.796358,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:28:08.794025,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
2026-02-23T16:28:09.811580,10,38.0,30.0,37.484517,-122.146336,-18.0,6.0,GPS GLONASS GALILEO,True,36.98999235778262,2.09366768682671
